‘ª’èŽžŠÔ	T1Raw	T2Raw	T3Raw	T4Raw	
       138	-0.00081307	-0.00306790	0.00756203	-0.00242366	
       139	-0.00049095	-0.00049095	-0.00016883	-0.00113519	
       140	-0.00049095	-0.00306790	0.00240812	-0.00016883	
       141	0.00273024	-0.00403426	0.00401872	-0.00016883	
       142	-0.00274578	0.00015329	-0.00177943	0.00305236	
       143	-0.00500062	0.00208601	-0.00854393	0.00079753	
       144	0.00756203	-0.00435638	0.01078323	0.00015329	
       145	0.00627356	-0.00403426	0.00756203	0.00208601	
       146	0.00273024	0.00111965	0.00111965	0.00498508	
       147	0.00240812	0.00337448	0.00305236	0.00562932	
       148	0.00337448	0.00273024	0.00176389	0.00530720	
       149	0.00562932	0.00111965	-0.00145731	-0.00983241	
       150	0.00079753	-0.00016883	-0.00081307	0.00337448	
       151	0.00111965	0.00144177	0.00079753	0.00369660	
       152	-0.00081307	0.00176389	0.00079753	-0.00177943	
       153	-0.00371214	0.00144177	-0.00306790	-0.00016883	
       154	-0.00242366	0.00401872	-0.00403426	0.00047541	
       155	0.00111965	0.00176389	-0.00628909	-0.00177943	
       156	-0.00049095	0.00208601	-0.00210154	-0.00145731	
       157	0.00015329	-0.00049095	0.00176389	-0.00210154	
       158	-0.00628909	0.00015329	-0.00210154	-0.00113519	
       159	-0.00725545	-0.00177943	-0.00371214	0.00434084	
       160	-0.01144300	-0.00016883	0.00015329	0.00788415	
       161	-0.00854393	-0.00403426	-0.00500062	0.00305236	
       162	-0.00371214	-0.00403426	0.00111965	-0.00274578	
       163	0.00079753	-0.00435638	-0.00210154	0.00273024	
       164	0.00240812	-0.00500062	0.00498508	-0.00403426	
       165	0.00273024	0.00015329	-0.00177943	0.00015329	
       166	0.00111965	-0.00049095	-0.00403426	-0.00177943	
       167	-0.00693333	0.00079753	-0.00435638	0.00337448	
       168	-0.00983241	0.00305236	-0.00564486	0.00273024	
       169	0.00337448	-0.00081307	0.00337448	-0.00371214	
       170	0.00434084	-0.00113519	0.00852839	-0.00339002	
