‘ª’èŽžŠÔ	T1Raw	T2Raw	T3Raw	T4Raw	
       358	-0.00951029	0.00273024	0.00595144	0.00047541	
       359	-0.00049095	0.00369660	0.00434084	0.00530720	
       360	0.00047541	0.00176389	0.00240812	-0.00339002	
       361	0.00305236	0.00176389	-0.00306790	-0.00210154	
       362	0.00305236	0.00401872	-0.00016883	-0.00049095	
       363	0.00659567	0.00047541	0.00111965	-0.00628909	
       364	0.00498508	0.00144177	0.00144177	-0.01176512	
       365	0.00466296	0.00176389	0.00111965	-0.00661121	
       366	0.00788415	0.00015329	0.00434084	0.01883621	
       367	0.00466296	0.00047541	0.00466296	0.00176389	
       368	-0.00145731	0.00047541	-0.00016883	0.00240812	
       369	0.00466296	-0.00339002	0.00595144	-0.00049095	
       370	0.00691779	-0.00467850	0.00176389	-0.00274578	
       371	0.00337448	-0.00339002	-0.00145731	-0.00113519	
       372	-0.00113519	-0.00242366	-0.00306790	0.00273024	
       373	-0.00403426	-0.00339002	-0.00081307	0.00434084	
       374	-0.00661121	0.00111965	-0.00210154	0.00562932	
       375	-0.01176512	0.00369660	-0.00854393	0.00047541	
       376	0.00144177	-0.00371214	0.00434084	-0.00016883	
       377	0.00240812	-0.00177943	0.00208601	0.00305236	
       378	0.00208601	-0.00145731	0.00047541	-0.00886605	
       379	-0.00016883	-0.00210154	-0.00274578	-0.00371214	
       380	0.00144177	-0.00049095	-0.00242366	-0.00467850	
       381	0.00047541	0.00337448	-0.00274578	-0.00306790	
       382	-0.00532274	0.00401872	-0.00339002	-0.00081307	
       383	-0.00693333	0.00305236	0.00079753	0.01110534	
       384	-0.00661121	0.00208601	-0.00081307	-0.00016883	
       385	-0.00435638	0.00401872	-0.00113519	-0.00016883	
       386	-0.00274578	-0.00016883	0.00015329	0.00015329	
       387	-0.00854393	-0.00081307	-0.00177943	0.00498508	
       388	-0.00725545	-0.00306790	0.00208601	-0.01756327	
       389	-0.00661121	-0.00177943	-0.00274578	-0.00822181	
       390	-0.00306790	0.00047541	0.00015329	-0.00049095	
       391	-0.00242366	0.00595144	-0.00403426	0.00627356	
       392	-0.00564486	-0.00177943	-0.00177943	0.00627356	
       393	-0.00532274	-0.00016883	0.00434084	0.00466296	
       394	0.00659567	-0.00500062	0.00788415	0.00079753	
       395	0.01110534	-0.00435638	0.00079753	-0.00177943	
       396	0.00885051	-0.00177943	-0.00145731	0.00144177	
       397	0.00498508	-0.00016883	0.00047541	0.00434084	
       398	-0.00274578	0.00144177	-0.00306790	0.00466296	
       399	-0.00339002	0.00498508	-0.00274578	0.00401872	
       400	-0.00210154	0.00015329	-0.00081307	-0.00467850	
       401	-0.00306790	-0.00049095	-0.00145731	-0.00145731	
       402	-0.00500062	0.00240812	-0.00274578	-0.00177943	
       403	-0.00435638	-0.00306790	0.00401872	-0.00467850	
       404	-0.00403426	0.00047541	-0.00081307	-0.00822181	
       405	0.00981687	0.00273024	-0.00306790	-0.00081307	
       406	0.01851409	0.00401872	-0.00371214	-0.00306790	
       407	0.00466296	0.00337448	-0.00274578	-0.00177943	
       408	0.00466296	0.00015329	-0.00113519	-0.01595267	
       409	0.01561501	-0.00210154	0.00466296	-0.00500062	
       410	0.01336018	-0.00242366	-0.00081307	0.00659567	
       412	0.00434084	-0.00016883	-0.00854393	0.00498508	
       413	-0.00210154	-0.00210154	-0.00306790	0.00144177	
       413	-0.00467850	-0.00081307	-0.00725545	0.00466296	
       414	-0.00789969	-0.00661121	-0.00242366	0.00530720	
       415	-0.02432777	-0.00081307	-0.00596698	-0.00596698	
       416	-0.03044804	0.00079753	-0.00693333	-0.00081307	
       417	-0.01530843	0.00208601	-0.00983241	0.01239382	
       418	-0.00274578	0.00369660	-0.00661121	0.00305236	
       419	0.00627356	-0.00081307	0.00852839	-0.00435638	
       420	0.00273024	0.00240812	0.00369660	0.00176389	
       421	0.00917263	-0.00113519	0.00401872	-0.00274578	
       422	0.00595144	-0.00049095	0.00240812	0.00240812	
       424	0.00305236	0.00305236	0.00369660	0.00111965	
       425	0.00305236	0.00337448	0.00176389	0.00208601	
       426	-0.00016883	0.00079753	-0.00113519	0.00337448	
       427	-0.00339002	0.00111965	0.00208601	0.00176389	
       428	-0.00306790	0.00111965	-0.00049095	0.00144177	
       429	-0.00016883	0.00111965	-0.00274578	0.00047541	
       430	0.00434084	-0.00467850	0.00498508	-0.00145731	
       431	0.00208601	-0.00210154	-0.00371214	-0.00113519	
       432	0.00305236	-0.00500062	0.00562932	0.00337448	
       432	0.00111965	-0.00371214	0.00369660	0.00917263	
       434	-0.00145731	0.00047541	0.00047541	-0.00435638	
       435	0.00047541	-0.00306790	-0.00210154	0.00047541	
       436	0.00273024	-0.00371214	0.00273024	-0.00242366	
       437	-0.00081307	0.00144177	0.00047541	0.00176389	
       438	-0.00661121	0.00047541	-0.00274578	0.00369660	
       439	-0.01337572	-0.00113519	-0.00081307	0.00562932	
       440	-0.00274578	-0.00371214	0.01013899	-0.01369784	
       441	-0.00596698	-0.00081307	-0.00274578	-0.00113519	
       442	-0.00177943	0.00369660	-0.00628909	-0.00596698	
       443	-0.00177943	0.00756203	-0.00467850	-0.00500062	
       444	-0.00242366	0.00691779	-0.00628909	-0.00339002	
       445	0.00111965	0.00144177	0.00273024	0.00240812	
       446	0.00176389	0.00273024	-0.00177943	0.00015329	
       447	0.00369660	0.00273024	0.00144177	-0.00306790	
       448	0.00111965	0.00047541	0.00111965	-0.00661121	
       449	0.00176389	0.00015329	-0.00822181	-0.00242366	
       450	-0.00145731	-0.00016883	-0.00532274	0.00466296	
       451	0.00498508	-0.00339002	0.00723991	0.00723991	
       452	0.00466296	-0.00467850	0.00273024	0.00562932	
       453	0.00434084	-0.00564486	0.00498508	-0.00628909	
       454	0.00015329	-0.00177943	0.00273024	-0.00274578	
       455	0.00079753	-0.00242366	0.00176389	0.00273024	
       456	-0.00081307	-0.00049095	-0.00403426	0.00305236	
       457	-0.00371214	-0.00274578	-0.00145731	-0.00532274	
       458	0.00240812	-0.00500062	-0.00371214	-0.00371214	
       459	0.00273024	-0.00339002	-0.00210154	0.00111965	
