‘ª’èŽžŠÔ	T1Raw	T2Raw	T3Raw	T4Raw	
       163	0.00079753	0.00047541	-0.00403426	0.00434084	
       164	0.00369660	-0.00049095	-0.00081307	0.00562932	
       165	0.00788415	-0.00145731	0.00176389	0.00337448	
       166	0.00595144	0.00369660	0.00240812	0.00305236	
       167	0.00659567	0.00208601	0.00111965	-0.00210154	
       168	0.00144177	0.00434084	-0.00049095	-0.00145731	
       169	-0.00177943	0.00498508	-0.00016883	0.00273024	
       170	-0.00016883	0.00208601	-0.00177943	0.00079753	
       171	0.00466296	-0.00210154	-0.00049095	-0.01305360	
       172	0.00337448	-0.00822181	0.00079753	-0.00725545	
       173	0.00401872	-0.00725545	0.00273024	-0.00403426	
       174	-0.00693333	-0.00435638	0.00047541	0.00369660	
       175	-0.00145731	-0.00145731	-0.00049095	-0.00306790	
       176	0.00466296	-0.00371214	0.00144177	0.00240812	
       177	0.00176389	0.00691779	-0.00242366	0.00240812	
       178	-0.00983241	0.01239382	-0.00177943	0.00208601	
       179	-0.00628909	0.00466296	0.00015329	-0.00306790	
       180	-0.00500062	0.00176389	-0.00081307	-0.01208724	
       181	-0.00854393	-0.00016883	-0.00339002	-0.00983241	
       182	0.00208601	-0.00339002	0.00337448	-0.00628909	
       183	-0.00274578	-0.00306790	0.00208601	0.00144177	
       184	-0.00983241	-0.00306790	0.00144177	0.00176389	
       185	-0.00532274	0.00144177	-0.00113519	0.00047541	
       186	-0.00661121	0.00305236	-0.00210154	-0.00274578	
       187	-0.00274578	0.00723991	-0.00628909	-0.00113519	
       188	0.00498508	0.00595144	-0.00242366	-0.00210154	
       189	0.01110534	0.00111965	0.00176389	0.00369660	
       190	0.00659567	0.00498508	0.00176389	0.00627356	
       191	0.00723991	0.00434084	-0.00210154	0.00337448	
       192	0.00852839	-0.00049095	-0.00049095	0.00369660	
       193	0.00917263	-0.00081307	0.00079753	0.00208601	
       194	0.00723991	-0.00113519	0.00047541	0.00305236	
       195	0.00047541	-0.00049095	-0.00274578	0.00273024	
       196	-0.00854393	0.00305236	-0.00081307	0.00305236	
       197	-0.00854393	-0.00403426	0.00047541	0.00401872	
       198	-0.00274578	-0.00339002	-0.00177943	0.00401872	
       199	-0.00306790	-0.00242366	-0.00177943	0.00305236	
       200	0.00466296	0.00015329	-0.00113519	0.00337448	
       201	0.01142746	-0.00081307	-0.00274578	0.00369660	
       202	0.01207170	-0.00371214	-0.00371214	0.00627356	
       203	0.01239382	-0.00049095	-0.00500062	0.00337448	
       204	0.00788415	-0.00210154	-0.00403426	0.00144177	
       205	0.01593713	-0.00210154	-0.00016883	-0.00049095	
       206	0.00015329	0.00144177	-0.00049095	0.00176389	
       207	-0.01047664	0.00369660	-0.00306790	-0.00306790	
       208	-0.01691903	0.00144177	-0.00177943	-0.00661121	
       209	-0.03141439	0.00273024	-0.00435638	-0.00403426	
       210	-0.02593837	0.00208601	0.00015329	-0.00435638	
       211	-0.01724115	0.00111965	-0.00210154	-0.00371214	
       212	-0.01176512	0.00144177	-0.00145731	-0.00435638	
       213	-0.00081307	-0.00210154	0.00079753	-0.00306790	
       214	0.00079753	-0.00435638	0.00111965	-0.00532274	
       215	-0.00306790	-0.00435638	0.00208601	-0.00500062	
       216	-0.00016883	-0.00628909	0.00337448	-0.00500062	
       217	0.00176389	-0.00693333	0.00369660	-0.00339002	
       218	0.00434084	-0.00628909	0.00047541	-0.00306790	
       219	-0.00049095	-0.00016883	-0.00210154	-0.00113519	
       220	0.00981687	-0.00177943	-0.00016883	-0.00403426	
       221	0.01174958	-0.00532274	0.00466296	0.00047541	
       222	0.00723991	-0.00467850	0.00144177	0.00369660	
       223	0.01013899	-0.00403426	-0.00049095	-0.00306790	
       224	0.01078323	-0.00306790	0.00176389	-0.00049095	
       225	-0.00274578	-0.00210154	-0.00177943	-0.00145731	
       226	-0.01273148	0.00305236	-0.00242366	-0.00628909	
       227	-0.01208724	0.00401872	-0.00210154	-0.00339002	
       228	-0.01176512	0.00434084	-0.00113519	0.00627356	
       229	-0.00725545	0.00240812	-0.00274578	0.00530720	
       230	-0.00725545	0.00466296	-0.00306790	0.00240812	
       231	-0.00274578	0.00466296	-0.00306790	0.00530720	
       232	0.00498508	0.00208601	0.00047541	0.00562932	
       233	0.01142746	0.00240812	-0.00274578	0.00595144	
       234	0.01078323	0.00111965	-0.00274578	0.00015329	
       235	0.00788415	0.00015329	-0.00403426	-0.00210154	
       236	0.00401872	-0.00145731	-0.00274578	-0.00854393	
       237	0.00498508	-0.00274578	0.00530720	-0.00403426	
       238	0.00434084	-0.00403426	0.00595144	-0.00049095	
       239	-0.00210154	-0.00500062	0.00401872	0.00079753	
       240	-0.01788539	-0.00274578	0.00369660	0.00305236	
       241	-0.00918817	-0.00145731	-0.00016883	0.00434084	
       242	-0.00306790	-0.00113519	-0.00049095	0.00498508	
       243	0.00240812	0.00079753	0.00079753	0.00273024	
       244	0.00273024	0.00144177	-0.00210154	0.00498508	
       245	0.00305236	0.00305236	-0.00145731	0.00595144	
       246	-0.00177943	0.00401872	-0.00177943	0.00079753	
       247	-0.00274578	0.00079753	-0.00274578	-0.00628909	
       248	0.00401872	-0.00532274	-0.00049095	-0.01047664	
       249	0.00240812	-0.00145731	-0.00371214	-0.00918817	
       250	0.00047541	0.00111965	-0.00532274	-0.00661121	
       251	-0.00145731	0.00047541	-0.00177943	-0.00628909	
       252	-0.00628909	0.00305236	-0.00435638	-0.00371214	
       253	-0.00306790	0.00401872	-0.00596698	0.00627356	
       254	0.00498508	0.00240812	0.00111965	0.00015329	
       255	0.00305236	-0.00306790	0.00723991	-0.00145731	
       256	0.00273024	-0.00339002	0.00466296	0.00176389	
       257	0.00079753	-0.00725545	-0.00113519	0.00047541	
       258	-0.00339002	-0.00693333	0.00369660	-0.00242366	
       259	-0.00306790	-0.00435638	0.00273024	-0.00113519	
       260	0.00530720	0.00240812	-0.00242366	-0.00177943	
       261	0.00756203	-0.00113519	0.00273024	-0.00145731	
       261	0.00079753	-0.00306790	0.00047541	0.00240812	
       262	0.00273024	-0.00371214	0.00111965	0.00401872	
       263	-0.00177943	0.00885051	-0.00339002	0.00337448	
       264	-0.00242366	0.00144177	0.00079753	0.00659567	
       265	0.00047541	0.00337448	-0.00274578	0.00756203	
       266	-0.00016883	0.00466296	0.00015329	0.00530720	
       267	0.00208601	0.00273024	-0.00274578	0.00273024	
       268	0.00530720	0.00240812	-0.00081307	-0.00918817	
       269	0.00015329	0.00144177	-0.00210154	-0.00564486	
       270	-0.00274578	0.00176389	-0.00339002	-0.00242366	
       271	-0.00693333	0.00047541	-0.00435638	0.00047541	
       272	-0.01079876	-0.00049095	-0.00339002	-0.00113519	
       273	-0.00886605	0.00111965	-0.00564486	-0.00210154	
       274	-0.01273148	0.00144177	-0.00371214	-0.00145731	
       275	-0.01144300	-0.00049095	-0.00339002	-0.00177943	
       276	-0.00725545	-0.00081307	-0.00177943	-0.00113519	
       277	0.01110534	0.00047541	-0.00210154	-0.00016883	
       278	0.00820627	-0.00145731	-0.00113519	0.00498508	
       279	0.00273024	-0.00371214	-0.00339002	0.00401872	
       280	0.00176389	0.00047541	0.00788415	-0.00661121	
       281	0.00562932	0.00047541	0.00047541	0.00111965	
       282	0.01464866	-0.00339002	0.00079753	0.00337448	
       283	0.01464866	-0.00661121	0.00691779	-0.00113519	
       284	0.01336018	-0.00822181	0.00369660	0.00047541	
       285	0.00530720	-0.00274578	0.00369660	-0.00081307	
       286	-0.00500062	0.00111965	0.00562932	-0.00371214	
       287	-0.01498631	0.00401872	0.00047541	-0.00339002	
       288	-0.01434208	0.00627356	-0.00403426	-0.00242366	
       289	-0.00532274	0.00820627	-0.00177943	-0.00049095	
       290	-0.00242366	0.00530720	-0.00306790	-0.00177943	
       291	-0.00467850	0.00111965	-0.00177943	-0.00500062	
       292	-0.00854393	-0.00274578	-0.00371214	0.00015329	
       293	-0.00661121	-0.00403426	-0.00145731	0.00079753	
       294	-0.00210154	-0.00403426	0.00079753	0.00079753	
       295	0.00595144	-0.00210154	-0.00049095	-0.00177943	
       296	0.00659567	-0.00274578	-0.00049095	-0.00242366	
       297	0.00852839	-0.00532274	0.00144177	-0.00113519	
       298	0.00530720	-0.00886605	0.00434084	-0.00371214	
       299	0.00240812	-0.00822181	0.00240812	0.00047541	
       300	-0.00049095	-0.00628909	-0.00016883	-0.00016883	
       301	-0.01981810	-0.00467850	0.00015329	0.00240812	
       302	-0.02915956	-0.00016883	-0.00210154	0.00562932	
       303	-0.00564486	0.00176389	-0.00274578	0.00401872	
       304	0.00981687	0.00305236	-0.00435638	0.00369660	
       305	0.00917263	0.00079753	-0.00145731	0.00176389	
       306	0.00659567	0.00466296	-0.00049095	0.00240812	
       307	0.00305236	0.00144177	-0.00210154	-0.00274578	
       308	0.00401872	0.00047541	0.00176389	-0.00403426	
       309	-0.00016883	0.00208601	0.00144177	-0.00274578	
       310	0.00015329	0.00176389	0.00079753	0.00144177	
       311	-0.00113519	0.00111965	0.00111965	-0.00081307	
       312	0.00047541	-0.00049095	0.00144177	-0.00145731	
       313	0.00015329	-0.00242366	-0.00177943	-0.00049095	
       314	0.00047541	-0.00274578	-0.00081307	-0.00081307	
       315	0.00079753	0.00176389	-0.00306790	-0.00757757	
       316	0.00595144	0.00240812	-0.00177943	-0.00886605	
       317	0.00723991	-0.00016883	-0.00016883	-0.00081307	
       318	0.00627356	-0.00306790	-0.00274578	0.00176389	
       319	0.00820627	-0.00403426	-0.00177943	0.00498508	
       320	0.00111965	-0.00339002	0.00337448	0.00079753	
       321	0.00015329	0.00015329	0.00176389	0.00273024	
       322	-0.01047664	-0.00113519	0.00015329	0.00434084	
       323	-0.01563055	0.00562932	-0.00339002	0.00337448	
       324	-0.00822181	0.00305236	-0.00242366	-0.00242366	
       325	-0.00564486	0.00111965	-0.00371214	0.00079753	
       326	-0.00500062	0.00337448	-0.00371214	0.00047541	
       327	-0.00339002	0.00434084	-0.00113519	-0.00210154	
       328	-0.00210154	0.00305236	-0.00016883	-0.00081307	
       329	-0.00049095	0.00111965	-0.00210154	-0.00242366	
       330	0.00144177	0.00273024	-0.00371214	-0.00016883	
       331	0.00047541	0.00144177	-0.00306790	0.00111965	
       332	-0.00177943	0.00015329	-0.00210154	0.00337448	
       333	-0.00661121	0.00305236	-0.00371214	-0.00081307	
       334	-0.00049095	-0.00016883	0.00079753	-0.00274578	
       335	-0.00081307	-0.00210154	0.00401872	0.00337448	
       336	0.00562932	-0.00371214	0.00337448	0.00466296	
       337	0.00562932	-0.00628909	0.00466296	0.00208601	
       338	0.00047541	-0.00210154	0.00144177	-0.00596698	
